;id;Target;total_score;age_score;sex_score
386;2016;0;0.55;0.6;0.45
387;2343;0;0.0;0.15;0.25
388;179;0;0.0;0.2;0.05
389;2192;0;0.3;0.25;0.4
390;3904;0;0.0;0.05;0.8
391;2423;1;0.7;0.45;0.85
392;2505;1;0.8;0.7;0.65
393;814;0;0.7;0.5;0.5
394;1574;0;0.8;0.95;0.05
395;1246;0;0.3;0.5;0.25
396;2058;0;0.85;0.25;0.8
397;1215;0;0.3;0.15;0.8
398;4183;0;0.3;0.0;0.3
399;3532;0;0.7;0.4;0.85
400;3346;0;0.45;0.85;0.1
401;3192;0;0.5;0.1;0.5
402;4768;1;0.4;0.8;0.4
403;2236;0;0.7;0.6;0.65
404;4951;0;0.2;0.5;0.4
405;743;0;0.0;0.05;0.05
406;4376;0;0.7;0.1;0.7
407;1767;0;0.6;0.45;0.45
408;1975;0;0.8;0.85;0.55
409;1333;1;0.15;0.3;0.45
410;1109;0;0.2;0.25;0.75
411;2159;0;0.95;0.65;0.65
412;2180;0;0.45;0.75;0.25
413;356;0;0.9;0.7;0.85
414;3040;0;0.2;0.65;0.5
415;1348;0;0.3;0.1;0.4
416;111;0;0.0;0.45;0.4
417;2966;0;0.0;0.85;0.85
418;3504;0;0.3;0.25;0.55
419;3592;0;0.3;0.15;0.05
420;1913;0;0.3;0.05;0.1
421;600;0;0.0;0.85;0.45
422;630;0;0.0;0.75;0.25
423;999;0;0.5;0.3;0.2
424;2713;1;0.3;0.0;0.95
425;3906;0;0.5;0.4;0.95
426;110;1;0.7;0.95;0.85
427;2610;0;0.15;0.05;0.4
428;3332;0;0.7;0.15;0.95
429;1505;0;0.0;0.3;0.7
430;1492;0;0.95;0.9;0.4
431;2735;0;0.45;0.05;0.4
432;3795;0;0.7;0.95;0.25
433;1397;0;0.3;0.1;0.25
434;2150;0;0.85;0.7;0.55
435;2892;0;0.6;0.1;0.2
436;1257;0;0.3;0.8;0.6
437;3977;0;0.7;0.65;0.9
438;569;0;0.0;0.75;0.25
439;1932;0;0.7;0.1;0.45
440;152;0;0.0;0.4;0.25
441;1075;1;0.7;0.2;0.1
442;3696;0;0.15;0.2;0.0
443;4607;0;0.4;0.1;0.6
444;2737;0;0.7;0.8;0.35
445;2197;0;0.0;0.65;0.35
446;3858;0;0.7;0.25;0.05
447;1448;0;0.0;0.75;0.0
448;1514;0;0.45;0.25;0.75
449;4091;0;0.2;0.55;0.3
450;3248;0;0.0;0.1;0.55
451;4763;0;0.0;0.2;0.0
452;1092;0;0.8;0.6;0.2
453;1559;0;0.15;0.2;0.35
454;341;0;0.3;0.0;0.85
455;1627;0;0.5;0.8;0.35
456;486;0;0.0;0.2;0.0
457;607;0;0.7;0.95;0.5
458;4291;1;0.95;0.55;0.05
459;2231;1;0.0;0.4;0.5
460;1711;0;0.5;0.45;0.05
461;4009;0;0.9;0.75;0.05
462;775;0;0.95;0.45;0.95
463;2502;0;0.5;0.45;0.4
464;350;0;0.0;0.95;0.05
465;3825;0;0.0;0.25;0.05
466;3975;0;0.8;0.7;0.7
467;17;0;0.3;0.7;0.2
468;3390;0;0.55;0.75;0.5
469;1234;0;0.4;0.7;0.35
470;1091;0;0.0;0.65;0.45
471;3761;0;0.15;0.45;0.95
472;3720;1;0.4;0.95;0.35
473;4139;0;0.3;0.2;0.05
474;1165;0;0.3;0.15;0.5
475;3164;0;0.5;0.25;0.1
476;4863;0;0.15;0.15;0.35
477;3007;0;0.5;0.5;0.2
478;1021;0;0.0;0.0;0.15
479;16;0;0.9;0.6;0.65
480;4164;0;0.0;0.7;0.1
481;1863;0;0.15;0.45;0.55
482;1316;0;0.8;0.95;0.1
483;942;0;0.0;0.3;0.2
484;1024;0;0.0;0.2;0.25
485;2768;0;0.4;0.0;0.05
486;4572;0;0.0;0.55;0.0
487;185;0;0.2;0.55;0.45
488;4542;0;0.3;0.9;0.0
489;4131;0;0.15;0.95;0.25
490;331;1;0.15;0.25;0.3
491;2701;0;0.3;0.3;0.5
492;680;0;0.0;0.4;0.0
493;3851;0;0.7;0.95;0.85
494;269;0;0.5;0.2;0.05
495;3406;0;0.2;0.5;0.45
496;2726;0;0.15;0.0;0.45
497;3516;1;0.3;0.95;0.7
498;4229;0;0.95;0.35;0.8
499;667;0;0.2;0.0;0.55
500;173;0;0.7;0.45;0.9
501;3929;0;0.3;0.1;0.05
502;4642;0;0.0;0.05;0.0
503;877;0;0.5;0.65;0.65
504;3200;0;0.45;0.0;0.3
505;2325;0;0.15;0.05;0.25
506;1664;0;0.3;0.1;0.0
507;1517;0;0.0;0.6;0.2
508;4186;0;0.45;0.9;0.65
509;227;0;0.3;0.85;0.55
510;3181;0;0.7;0.7;0.85
511;3791;0;0.0;0.0;0.85
512;3431;0;0.7;0.9;0.2
513;2937;0;0.0;0.45;0.1
514;387;0;0.0;0.65;0.4
515;1464;0;0.0;0.15;0.3
516;4343;0;0.5;0.5;0.05
517;2075;0;0.7;0.7;0.65
518;4334;0;0.55;0.05;0.75
519;42;0;0.3;0.85;0.2
520;2832;0;0.3;0.45;0.25
521;1461;1;0.9;0.25;0.2
522;183;0;0.15;0.6;0.85
523;1603;0;0.3;0.35;0.05
524;4741;1;0.8;0.8;0.8
525;2694;0;0.0;0.05;0.4
526;3315;0;0.0;0.9;0.95
527;3866;0;0.6;0.1;0.25
528;2585;0;0.3;0.7;0.1
529;2457;0;0.55;0.1;0.25
530;1255;0;0.15;0.4;0.75
531;3912;0;0.85;0.95;0.95
532;4463;0;0.0;0.55;0.75
533;2303;1;0.0;0.6;0.3
534;3837;0;0.7;0.65;0.7
535;1385;0;0.3;0.3;0.1
536;2844;0;0.45;0.15;0.1
537;329;0;0.3;0.75;0.35
538;4890;0;0.3;0.75;0.35
539;385;0;0.15;0.15;0.5
540;2908;0;0.2;0.95;0.4
541;2738;0;0.55;0.45;0.4
542;1784;0;0.7;0.4;0.3
543;3870;0;0.4;0.55;0.25
544;1602;0;0.3;0.9;0.9
545;3434;1;0.7;0.6;0.45
546;216;0;0.0;0.65;0.65
547;2388;0;0.3;0.75;0.45
548;4212;0;0.5;0.05;0.05
549;661;0;0.7;0.1;0.25
550;4545;0;0.2;0.75;0.8
551;4204;0;0.2;0.4;0.3
552;2863;0;0.6;0.65;0.45
553;3271;1;0.85;0.1;0.85
554;4276;1;0.2;0.55;0.1
555;2890;0;0.95;0.55;0.65
556;866;0;0.0;0.4;0.45
557;309;0;0.3;0.75;0.25
558;1438;0;0.0;0.15;0.35
559;2673;0;0.85;0.45;0.6
560;4748;0;0.5;0.05;0.15
561;2492;0;0.7;0.85;0.8
562;2579;0;0.45;0.4;0.45
563;2815;0;0.15;0.85;0.6
564;4144;0;0.7;0.75;0.4
565;1799;0;0.0;0.1;0.1
566;1105;0;0.0;0.65;0.4
567;2647;0;0.0;0.4;0.15
568;3024;0;0.6;0.7;0.35
569;617;0;0.6;0.1;0.3
570;327;0;0.0;0.0;0.95
571;2451;0;0.15;0.4;0.8
572;572;0;0.9;0.8;0.45
573;4073;0;0.2;0.75;0.45
574;2217;0;0.0;0.0;0.65
575;588;0;0.45;0.6;0.9
576;3965;0;0.3;0.45;0.85
577;4699;0;0.3;0.05;0.75
578;3885;0;0.95;0.25;0.85
579;1580;0;0.3;0.95;0.05
580;1611;0;0.7;0.95;0.55
581;2478;1;0.55;0.55;0.25
582;676;0;0.55;0.85;0.65
583;846;1;0.8;0.8;0.35
584;3621;0;0.0;0.0;0.15
585;4826;0;0.15;0.8;0.15
586;3793;0;0.3;0.2;0.15
587;4161;0;0.95;0.45;0.5
588;1592;0;0.0;0.55;0.65
589;4481;0;0.3;0.15;0.75
590;4579;0;0.15;0.25;0.5
591;2162;0;0.7;0.65;0.65
592;4897;0;0.8;0.95;0.25
593;3044;0;0.85;0.9;0.9
594;1083;0;0.3;0.4;0.8
595;4335;0;0.0;0.0;0.9
596;1089;0;0.85;0.85;0.95
597;1761;0;0.7;0.95;0.35
598;4075;0;0.9;0.95;0.9
599;2993;0;0.3;0.55;0.0
600;2902;0;0.3;0.25;0.85
601;1981;0;0.45;0.7;0.1
602;4633;0;0.45;0.55;0.85
603;4033;0;0.3;0.45;0.0
604;3397;0;0.45;0.9;0.15
605;1984;0;0.45;0.05;0.25
606;3292;0;0.3;0.35;0.85
607;2800;0;0.0;0.25;0.0
608;3654;0;0.0;0.65;0.5
609;2716;0;0.0;0.5;0.95
610;1852;0;0.95;0.5;0.0
611;1599;0;0.5;0.8;0.7
612;1524;0;0.7;0.85;0.9
613;4226;0;0.7;0.1;0.25
614;3669;0;0.0;0.3;0.0
615;1956;0;0.95;0.65;0.95
616;2174;0;0.0;0.05;0.25
617;4404;0;0.3;0.75;0.9
618;821;0;0.3;0.35;0.0
619;2840;0;0.3;0.25;0.1
620;3473;0;0.0;0.0;0.55
621;2239;0;0.0;0.0;0.15
622;3220;0;0.3;0.05;0.5
623;1642;0;0.0;0.35;0.35
624;3194;0;0.95;0.9;0.55
625;293;0;0.4;0.35;0.0
626;3914;0;0.6;0.0;0.5
627;2849;0;0.15;0.65;0.4
628;504;0;0.8;0.2;0.2
629;4496;0;0.7;0.0;0.0
630;2248;0;0.4;0.9;0.45
631;1513;0;0.0;0.6;0.45
632;1090;0;0.55;0.2;0.1
633;3065;0;0.5;0.95;0.05
634;411;0;0.45;0.05;0.9
635;1475;0;0.0;0.05;0.95
636;3727;0;0.9;0.25;0.7
637;2511;0;0.2;0.35;0.2
638;3812;0;0.15;0.4;0.25
639;274;0;0.3;0.05;0.8
640;3405;0;0.55;0.15;0.5
641;546;0;0.7;0.3;0.55
642;413;0;0.4;0.35;0.15
643;4988;0;0.0;0.15;0.1
644;906;0;0.3;0.65;0.45
645;3341;0;0.6;0.35;0.9
646;3607;0;0.3;0.85;0.05
647;4466;0;0.0;0.7;0.85
648;4526;0;0.6;0.85;0.0
649;4059;0;0.15;0.0;0.55
650;1512;0;0.15;0.1;0.05
651;4697;0;0.45;0.5;0.05
652;2925;0;0.0;0.5;0.3
653;4432;0;0.0;0.35;0.2
654;3533;0;0.3;0.45;0.1
655;4555;1;0.85;0.9;0.6
656;2732;0;0.3;0.25;0.55
657;727;0;0.7;0.15;0.35
658;2961;0;0.7;0.1;0.85
659;2205;0;0.2;0.05;0.95
660;84;0;0.0;0.95;0.05
661;1199;0;0.85;0.85;0.45
662;3777;0;0.4;0.7;0.7
663;91;0;0.15;0.2;0.1
664;3685;0;0.3;0.05;0.8
665;2670;0;0.3;0.5;0.2
666;430;0;0.3;0.9;0.45
667;2785;0;0.6;0.2;0.4
668;1861;0;0.5;0.5;0.25
669;4380;0;0.3;0.95;0.3
670;3445;0;0.15;0.4;0.0
671;1403;0;0.5;0.05;0.15
672;4038;0;0.0;0.1;0.05
673;297;0;0.7;0.9;0.5
674;3280;0;0.55;0.35;0.9
675;2705;0;0.0;0.55;0.8
676;2307;0;0.0;0.25;0.7
677;3401;0;0.0;0.7;0.5
678;3808;0;0.3;0.3;0.4
679;4577;0;0.7;0.25;0.45
680;688;0;0.0;0.5;0.8
681;1392;0;0.6;0.7;0.1
682;4071;0;0.3;0.05;0.15
683;3779;0;0.0;0.0;0.9
684;2445;0;0.0;0.5;0.55
685;1213;0;0.7;0.85;0.8
686;1880;1;0.0;0.1;0.25
687;4784;0;0.85;0.95;0.25
688;145;0;0.5;0.2;0.15
689;4348;0;0.3;0.3;0.2
690;1359;0;0.3;0.15;0.25
691;4855;0;0.6;0.0;0.25
692;1693;0;0.55;0.15;0.4
693;2101;0;0.5;0.7;0.95
694;1206;0;0.45;0.2;0.6
695;3699;0;0.3;0.35;0.5
696;3186;0;0.0;0.1;0.2
697;3961;0;0.2;0.55;0.6
698;1285;0;0.0;0.45;0.2
699;2835;0;0.0;0.4;0.2
700;4140;0;0.0;0.3;0.45
701;4207;1;0.4;0.8;0.15
702;2791;0;0.95;0.55;0.95
703;20;0;0.7;0.05;0.45
704;853;0;0.3;0.15;0.45
705;665;0;0.15;0.15;0.0
706;80;0;0.95;0.75;0.3
707;4997;0;0.3;0.4;0.85
708;3260;0;0.95;0.2;0.15
709;2399;0;0.3;0.65;0.0
710;1754;0;0.3;0.55;0.1
711;721;0;0.0;0.05;0.0
712;4006;1;0.7;0.25;0.5
713;3891;0;0.0;0.0;0.6
714;444;0;0.45;0.95;0.45
715;975;0;0.85;0.85;0.4
716;3584;0;0.15;0.65;0.5
717;3421;0;0.2;0.4;0.8
718;1248;1;0.85;0.95;0.55
719;3336;0;0.15;0.75;0.45
720;4535;0;0.3;0.2;0.25
721;442;0;0.5;0.8;0.85
722;3686;0;0.0;0.05;0.05
723;4859;0;0.3;0.3;0.3
724;1250;0;0.0;0.3;0.2
725;3003;0;0.0;0.05;0.25
726;3129;0;0.8;0.65;0.9
727;4375;0;0.0;0.1;0.0
728;346;1;0.4;0.9;0.6
729;4307;0;0.7;0.7;0.85
730;3797;0;0.0;0.65;0.6
731;1295;0;0.7;0.0;0.15
732;4275;0;0.45;0.25;0.1
733;3410;0;0.8;0.95;0.85
734;972;0;0.0;0.1;0.2
735;4708;0;0.45;0.05;0.25
736;699;1;0.0;0.3;0.5
737;3863;0;0.0;0.0;0.75
738;2618;0;0.45;0.4;0.15
739;2904;0;0.3;0.55;0.85
740;1781;0;0.3;0.05;0.05
741;4353;0;0.55;0.5;0.3
742;547;0;0.3;0.25;0.0
